------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.1 port 5001 connected with 10.0.2.2 port 45206
[ ID] Interval       Transfer     Bandwidth
[  1] 22.5000-23.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 23.0000-23.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 23.5000-24.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 24.0000-24.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 24.5000-25.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 25.0000-25.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 25.5000-26.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 26.0000-26.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 26.5000-27.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 27.0000-27.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 27.5000-28.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 28.0000-28.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 28.5000-29.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 29.0000-29.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 29.5000-30.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 30.0000-30.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 30.5000-31.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 31.0000-31.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 31.5000-32.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 32.0000-32.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 32.5000-33.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 33.0000-33.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 33.5000-34.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 34.0000-34.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 34.5000-35.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 35.0000-35.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 35.5000-36.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 36.0000-36.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 36.5000-37.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 37.0000-37.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 37.5000-38.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 38.0000-38.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 38.5000-39.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 39.0000-39.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 39.5000-40.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 40.0000-40.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 40.5000-41.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 41.0000-41.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 41.5000-42.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 42.0000-42.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 42.5000-43.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 43.0000-43.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 43.5000-44.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 44.0000-44.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 44.5000-45.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 45.0000-45.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 45.5000-46.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 46.0000-46.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 46.5000-47.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 47.0000-47.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 47.5000-48.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 48.0000-48.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 48.5000-49.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 49.0000-49.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 49.5000-50.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 50.0000-50.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 50.5000-51.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 51.0000-51.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 51.5000-52.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 52.0000-52.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 52.5000-53.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 53.0000-53.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 53.5000-54.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 54.0000-54.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 54.5000-55.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 55.0000-55.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 55.5000-56.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 56.0000-56.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 56.5000-57.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 57.0000-57.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 57.5000-58.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 58.0000-58.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 58.5000-59.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 59.0000-59.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 59.5000-60.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 60.0000-60.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 60.5000-61.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 61.0000-61.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 61.5000-62.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 62.0000-62.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 62.5000-63.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 63.0000-63.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 63.5000-64.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 64.0000-64.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 64.5000-65.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 65.0000-65.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 65.5000-66.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 66.0000-66.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 66.5000-67.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 67.0000-67.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 67.5000-68.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 68.0000-68.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 68.5000-69.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 69.0000-69.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 69.5000-70.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 70.0000-70.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 70.5000-71.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 71.0000-71.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 71.5000-72.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 72.0000-72.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 72.5000-73.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 73.0000-73.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 73.5000-74.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 74.0000-74.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 74.5000-75.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 75.0000-75.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 75.5000-76.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 76.0000-76.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 76.5000-77.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 77.0000-77.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 77.5000-78.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 78.0000-78.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 78.5000-79.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 79.0000-79.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 79.5000-80.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 80.0000-80.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 80.5000-81.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 81.0000-81.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 81.5000-82.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 82.0000-82.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 82.5000-83.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 83.0000-83.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 83.5000-84.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 84.0000-84.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 84.5000-85.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 85.0000-85.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 85.5000-86.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 86.0000-86.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 86.5000-87.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 87.0000-87.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 87.5000-88.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 88.0000-88.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 88.5000-89.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 89.0000-89.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 89.5000-90.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 90.0000-90.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 90.5000-91.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 91.0000-91.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 91.5000-92.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 92.0000-92.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 92.5000-93.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 93.0000-93.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 93.5000-94.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 94.0000-94.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 94.5000-95.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 95.0000-95.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 95.5000-96.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 96.0000-96.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 96.5000-97.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 97.0000-97.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 97.5000-98.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 98.0000-98.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 98.5000-99.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 99.0000-99.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 99.5000-100.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 100.0000-100.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 100.5000-101.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 101.0000-101.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 101.5000-102.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 102.0000-102.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 102.5000-103.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 103.0000-103.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 103.5000-104.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 104.0000-104.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 104.5000-105.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 105.0000-105.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 105.5000-106.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 106.0000-106.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 106.5000-107.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 107.0000-107.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 107.5000-108.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 108.0000-108.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 108.5000-109.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 109.0000-109.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 109.5000-110.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 110.0000-110.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 110.5000-111.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 111.0000-111.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 111.5000-112.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 112.0000-112.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 112.5000-113.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 113.0000-113.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 113.5000-114.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 114.0000-114.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 114.5000-115.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 115.0000-115.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 115.5000-116.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 116.0000-116.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 116.5000-117.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 117.0000-117.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 117.5000-118.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 118.0000-118.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 118.5000-119.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 119.0000-119.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 119.5000-120.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 120.0000-120.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 120.5000-121.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 121.0000-121.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 121.5000-122.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 122.0000-122.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 122.5000-123.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 123.0000-123.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 123.5000-124.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 124.0000-124.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 124.5000-125.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 125.0000-125.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 125.5000-126.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 126.0000-126.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 126.5000-127.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 127.0000-127.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 127.5000-128.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 128.0000-128.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 128.5000-129.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 129.0000-129.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 129.5000-130.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 130.0000-130.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 130.5000-131.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 131.0000-131.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 131.5000-132.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 132.0000-132.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 132.5000-133.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 133.0000-133.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 133.5000-134.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 134.0000-134.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 134.5000-135.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 135.0000-135.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 135.5000-136.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 136.0000-136.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 136.5000-137.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 137.0000-137.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 137.5000-138.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 138.0000-138.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 138.5000-139.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 139.0000-139.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 139.5000-140.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 140.0000-140.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 140.5000-141.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 141.0000-141.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 141.5000-142.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 142.0000-142.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 142.5000-143.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 143.0000-143.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 143.5000-144.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 144.0000-144.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 144.5000-145.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 145.0000-145.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 145.5000-146.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 146.0000-146.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 146.5000-147.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 147.0000-147.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 147.5000-148.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 148.0000-148.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 148.5000-149.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 149.0000-149.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 149.5000-150.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 150.0000-150.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 150.5000-151.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 151.0000-151.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 151.5000-152.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 152.0000-152.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 152.5000-153.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 153.0000-153.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 153.5000-154.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 154.0000-154.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 154.5000-155.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 155.0000-155.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 155.5000-156.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 156.0000-156.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 156.5000-157.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 157.0000-157.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 157.5000-158.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 158.0000-158.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 158.5000-159.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 159.0000-159.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 159.5000-160.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 160.0000-160.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 160.5000-161.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 161.0000-161.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 161.5000-162.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 162.0000-162.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 162.5000-163.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 163.0000-163.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 163.5000-164.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 164.0000-164.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 164.5000-165.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 165.0000-165.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 165.5000-166.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 166.0000-166.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 166.5000-167.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 167.0000-167.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 167.5000-168.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 168.0000-168.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 168.5000-169.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 169.0000-169.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 169.5000-170.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 170.0000-170.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 170.5000-171.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 171.0000-171.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 171.5000-172.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 172.0000-172.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 172.5000-173.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 173.0000-173.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 173.5000-174.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 174.0000-174.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 174.5000-175.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 175.0000-175.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 175.5000-176.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 176.0000-176.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 176.5000-177.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 177.0000-177.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 177.5000-178.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 178.0000-178.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 178.5000-179.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 179.0000-179.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 179.5000-180.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 180.0000-180.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 180.5000-181.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 181.0000-181.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 181.5000-182.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 182.0000-182.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 182.5000-183.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 183.0000-183.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 183.5000-184.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 184.0000-184.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 184.5000-185.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 185.0000-185.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 185.5000-186.0000 sec   581 KBytes  9.52 Mbits/sec
