------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.1 port 5001 connected with 10.0.2.2 port 43960
[ ID] Interval       Transfer     Bandwidth
[  1] 41.5000-42.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 42.0000-42.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 42.5000-43.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 43.0000-43.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 43.5000-44.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 44.0000-44.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 44.5000-45.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 45.0000-45.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 45.5000-46.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 46.0000-46.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 46.5000-47.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 47.0000-47.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 47.5000-48.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 48.0000-48.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 48.5000-49.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 49.0000-49.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 49.5000-50.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 50.0000-50.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 50.5000-51.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 51.0000-51.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 51.5000-52.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 52.0000-52.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 52.5000-53.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 53.0000-53.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 53.5000-54.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 54.0000-54.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 54.5000-55.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 55.0000-55.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 55.5000-56.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 56.0000-56.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 56.5000-57.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 57.0000-57.5000 sec   461 KBytes  7.55 Mbits/sec
[  1] 57.5000-58.0000 sec   175 KBytes  2.87 Mbits/sec
[  1] 58.0000-58.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 58.5000-59.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 59.0000-59.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 59.5000-60.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 60.0000-60.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 60.5000-61.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 61.0000-61.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 61.5000-62.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 62.0000-62.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 62.5000-63.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 63.0000-63.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 63.5000-64.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 64.0000-64.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 64.5000-65.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 65.0000-65.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 65.5000-66.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 66.0000-66.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 66.5000-67.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 67.0000-67.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 67.5000-68.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 68.0000-68.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 68.5000-69.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 69.0000-69.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 69.5000-70.0000 sec   212 KBytes  3.48 Mbits/sec
[  1] 70.0000-70.5000 sec   404 KBytes  6.63 Mbits/sec
[  1] 70.5000-71.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 71.0000-71.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 71.5000-72.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 72.0000-72.5000 sec   583 KBytes  9.55 Mbits/sec
[  1] 72.5000-73.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 73.0000-73.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 73.5000-74.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 74.0000-74.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 74.5000-75.0000 sec   583 KBytes  9.55 Mbits/sec
[  1] 75.0000-75.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 75.5000-76.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 76.0000-76.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 76.5000-77.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 77.0000-77.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 77.5000-78.0000 sec   583 KBytes  9.55 Mbits/sec
[  1] 78.0000-78.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 78.5000-79.0000 sec   584 KBytes  9.57 Mbits/sec
